TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,BONDTYPE,BONDSUBTYPE
2024-02-12,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.787,97.993,97.436,97.462,97.544,974.62,979.84,-2.5379999999999967,-0.0033439343893484352,0.0,,0.0,13648,13309765.73,522,5.22,1000,0.0,0.0,2035-04-18,11.178644763860369,,,
2024-02-13,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.5,97.59,97.425,97.56,97.449,975.6,981.25,-2.4399999999999977,0.0010055201001415437,0.0,,0.0,10123,9868580.39,347,5.65,1000,0.0,0.0,2035-04-18,11.175906913073238,,,
2024-02-14,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.591,97.591,97.352,97.499,97.44,974.9899999999999,981.0799999999999,-2.5010000000000048,-0.0006252562525626004,0.0,,0.0,6003,5849305.97,311,6.09,1000,0.0,0.0,2035-04-18,11.173169062286105,,,
2024-02-15,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,96.801,97.549,96.801,97.521,97.416,975.21,981.73,-2.478999999999999,0.0002256433399316915,0.0,,0.0,10179,9909019.34,392,6.52,1000,0.0,0.0,2035-04-18,11.170431211498974,,,
2024-02-16,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.28,97.792,97.28,97.649,97.724,976.49,983.45,-2.350999999999999,0.0013125378123686193,0.0,,0.0,17576,17145395.66,402,6.96,1000,0.0,0.0,2035-04-18,11.16769336071184,,,
2024-02-19,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.601,97.792,97.601,97.754,97.7,977.5400000000001,985.8100000000001,-2.245999999999995,0.0010752798287745335,0.0,,0.0,107266,104798481.71,297,8.27,1000,0.0,0.0,2035-04-18,11.159479808350445,,,
2024-02-20,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.76,97.801,97.6,97.7,97.628,977.0,985.7,-2.299999999999997,-0.0005524070626266031,0.0,,0.0,102304,99860882.1,390,8.7,1000,0.0,0.0,2035-04-18,11.156741957563312,,,
2024-02-21,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.603,97.796,97.36,97.654,97.642,976.54,985.67,-2.3460000000000036,-0.00047082906857731643,0.0,,0.0,11346,11078481.51,373,9.13,1000,0.0,0.0,2035-04-18,11.154004106776181,,,
2024-02-22,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.784,97.789,97.407,97.74,97.664,977.4,986.9599999999999,-2.260000000000005,0.0008806602904130045,0.0,,0.0,33268,32473046.81,300,9.56,1000,0.0,0.0,2035-04-18,11.151266255989048,,,
2024-02-26,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.74,97.798,97.452,97.681,97.821,976.81,988.0899999999999,-2.3190000000000026,-0.000603642316349462,0.0,,0.0,46158,45069683.28,388,11.28,1000,0.0,0.0,2035-04-18,11.14031485284052,,,
2024-02-27,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.555,98.141,97.555,97.86,97.911,978.6,990.3100000000001,-2.1400000000000006,0.0018324955723221237,0.0,,0.0,21982,21512605.51,248,11.71,1000,0.0,0.0,2035-04-18,11.137577002053389,,,
2024-02-28,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.142,98.142,97.505,98.0,97.854,980.0,992.14,-2.0,0.0014306151645206988,0.0,,0.0,33442,32757014.06,268,12.14,1000,0.0,0.0,2035-04-18,11.134839151266256,,,
2024-02-29,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,98.099,98.142,97.727,97.976,97.931,979.76,992.33,-2.024000000000001,-0.0002448979591836986,0.0,,0.0,2567331,2514811379.8,364,12.57,1000,0.0,0.0,2035-04-18,11.132101300479125,,,
2024-03-01,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.7,98.095,97.697,98.0,97.899,980.0,993.0,-2.0,0.0002449579488854603,0.0,,0.0,16586,16220596.35,272,13.0,1000,0.0,0.0,2035-04-18,11.129363449691992,,,
